Disease,Treatments
Locally Advanced Non-Small-Cell Lung Cancer ( La-Nsclc ),Combined-Modality Therapy ( Cmt ; Chemotherapy And Radiotherapy )
Locally Advanced Squamous Cell Carcinoma Of The Head And Neck ( Scchn ),Cisplatin; Docetaxel; Fluorouracil ( 5-Fu ); Leucovorin ( Tpfl5 ) Induction Chemotherapy
Longitudinal Melanonychia,Hydroxyurea Therapy
Loss Of Appetite,Artichoke Extracts ( Cynara Scolymus L. )
Louse,1 % Permethrin Treatment
Low-Grade Nhl,Cytotoxic Agents; High-Dose Radiation; High-Dose Therapy With Stem Cell Transplant; Mabs
Low-Grade Non-Hodgkin 'S Lymphoma,Interferon Alpha; Recombinant Interferon Alpha
Low-Grade Non-Hodgkin 'S Lymphomas,Cytotoxic Drugs; Interferon
Low-Grade Or Transformed Low-Grade Nhl,Chemotherapy; Monoclonal Antibodies ( Mabs )
Lower Respiratory Tract Infection,Amoxicillin/Clavulanate
Lung Cancer,Amifostine; Chemotherapy And/Or Thoracic Radiotherapy; Cisplatin-Based Regimens; En-Bloc Resection; Endobronchial Interventions; Endobronchial Treatment Modalities That Can Augment Standard Antitumor Therapies; Lobectomy Or Pneumonectomy; Minimally Invasive Direct Coronary Artery Bypass And Left Lower Lobectomy With Video-Endoscopic Assistance; Mitomycin C; Radiation Therapy; Thoracic Irradiation
Lung Carcinoma,"Chemopreventive Agents; Ninjin Yoei To ( Nyt ; Ren-Shen-Yang-Rong-Tang In Chinese Medicine ; Kotaro Pharmaceutical Co. , Ltd. , Osaka , Japan ) , One Of The Traditional Herbal Medicines; Nyt; Open Thoracotomy; Videothoracoscopic Lobectomy Or Partial Resection Of The Lung; Videothoracoscopic Procedures"
Lung Hydatid Disease,Surgical Treatment
Lung Lacerations And Major Bronchial Disruptions,Surgical Treatment
Lung Metastasis,Liposomal Mdp-Lys
Lung Or Peritoneal Tumors,Subcutaneous Injection Of Irradiated Llc-Il2
Lung Tumors,Intraperitoneal Injection Of Irradiated Llc-Il2
Lymph Node And Peritoneum Metastases,Chronochemotherapy
Lymphedema,Pneumatic Compression Pumps
Lymphoma,Paclitaxel
Macrosomic Infants In Gestational Diabetes Cases,Good Glycemic Control
Major Pulmonary Embolism,Thrombolysis; Thrombolytic Treatment
Malformations Of The Bones Of The Foot,Surgical Correction
Malignancy,Chemotherapy; Nyt; Radiation
Malignant Brain Tumors,Gene Therapy
Malignant Hyperpyrexic Syndrome,Dantrolene Sodium
Malignant Melanoma,Interferon Alfa-2A
Malignant Mesodermal Mixed Tumor,Irradiation
Malignant Pleural Effusions,"Combination Chemotherapy Of Cisplatin , Ifosfamide , And Irinotecan With Recombinant Human Granulocyte Colony-Stimulating Factor Support; Pleuroperitoneal Shunting; Thoracentesis Or Tube Drainage"
Malignant Pleural Effusions From Nsclc,Combination Chemotherapy; Systemic Chemotherapy
Malignant Pleural Mesothelioma,"Thoracotomy , Radiotherapy , And Chemotherapy"
Malignant Tumors Such As Non-Small Cell Lung Cancer,Adjuvant Therapy; Oral Administration Of Uft
Massive Hemorrhage Caused By Spontaneous Rupture Of Liver Metastasis,Transcatheter Arterial Embolization ( Tae )
Mastitis,Modified Bra
Mcv,Cidofovir; Cidofovir 'S; Cidofovir Therapy; Intravenous Cidofovir Therapy
Mcv Lesions,Cidofovir 'S; Intravenous Cidofovir Therapy
Mdr Tb,Tp
Measles,Vaccination
Mediastinal Teratomas,Chemotherapy
Melanoma,Cell-Based Vaccination
Meningococcaemia,Early Replacement Therapy With Protein-C Concentrate Together With Continuous Veno-Venous Haemodiafiltration
Meningococcus-Induced Purpura Fulminans,"Protein-C Concentrate , Heparin , And Haemodiafiltration"
Merkel Cell Carcinoma,Clinical Management
Mesenteric Venous Thrombosis,Intraarterial Lytic Therapy
Metastasis,"Exploratory Interventions , Partial Tumor Resections And Lung Resections"
Metastatic Breast Cancer,Doxorubicin-Containing Chemotherapy
Metastatic Colorectal Cancer,Fluorouracil; Intravenous Oxaliplatin; Irinotecan; Oxaliplatin In Combination With Fluorouracil/Folinic Acid
Metastatic Dysgerminoma,Chemotherapy
Metastatic Dysgerminoma Of The Ovary,"A Combination Of Etoposide , Bleomycin , And Cisplatin"
Metastatic Malignant Germ Cell Tumors,Cisplatin-Based Combination Chemotherapy
Metastatic Melanoma,Immunochemotherapeutic Regimen Consisting Of Interferon-Alpha2B And Interleukin-2 In Combination With Fotemustine
Metastatic Nets,Octreotide Lar
Metastatic Neuroendocrine Tumors ( Nets ),I.M . Lanreotide; I.M . Octreotide Acetate ( Octreotide Lar )
Metastatic Renal Cell Carcinoma,Interferons Beta And Gamma
Metastatic Transitional Cell Carcinoma Of The Bladder And Renal Failure,Systemic Chemotherapy With Paclitaxel And Carboplatin
Microalbuminuria,Angiotensin-Converting Enzyme Inhibitors; Glycemic Control
Micrometastases,Chemotherapy
Micrometastatic Disease,Chemotherapy
Mid Shaft And Penoscrotal Hypospadias,Tubularized Incised Plate Urethroplasty
Midline Incisional Hernias,Sliding Door Technique
Migraine,5Ht1B/1D Agonist Avitriptan; Serotonin Agonists; Sumatriptan
Mild Asthma And Exercise-Induced Bronchoconstriction,"Montelukast , A Leukotriene-Receptor Antagonist ,"
Mild To Moderate Partial Epilepsies,Vigabatrin ( Sabril )
Mild To Moderate Rheumatic Complaints,"Fixed Phytogenic Combination Trembling Poplar ( Populus Tremula ) , True Goldenrod ( Solidago Virgaurea ) And Ash ( Fraxinus Excelsior )"
Mild-To-Moderate Asthma,Inhaled Fluticasone Propionate ( Fp )
Miliary Tuberculosis,Antituberculous Drugs
Mitomycin-Resistant Bladder Cancer,Photodynamic Therapy In Combination With Mitomycin C
Mixed Large-Small Cell Neuroendocrine Carcinoma ( Lsnec ),Lung Resection
Mortality Related To Pregnancy,Beta Carotene; Vitamin A
Mouse Leukemia L1210,"Hyperbaric Oxygen , Whole-Body X Irradiation , And Cyclophosphamide Combination Therapy"
Mouse-Adopted Strain Of Influenza A2 ( H2N2 ) Virus,Gingyo-San
Mouse-Adopted Strain Of Influenza A2 Virus,Gingyo-San
Mplc,An Aggressive Surgical Approach
Mrcc,Il-2
Mucin-Producing Intrahepatic Cholangiocarcinoma,Cholangioscopy; Percutaneous Transhepatic Biliary Drainage
Multidrug Resistant Tb,Therapeutic Pneumothorax ( Tp )
Multiple Cerebral Metastases,Gamma Knife Radiosurgery ( Gks ); Whole-Brain Radiation Therapy ( Wbrt )
Multiple Myeloma,`` Tandem '' High-Dose Chemoradiotherapy With Autologous Stem-Cell Support
Multiple Sclerosis,Glatiramer Acetate ( Copaxone ); Interferon Beta Treatment; Intravenous Immunoglobulin Treatment; Pulsing Magnetic Field
Muscle Fiber Necrosis,Pralidoxime
Muscle Tightness,Ems; Ens
Mycoplasma Agalactiae,Vaccination
Myelodysplastic Syndrome,Amifostine
Myocardial Angiogenesis,Gene Therapy
Myocardial Infarction,1 Mg Warfarin With 80 Mg Aspirin; 160 Mg Aspirin; 3 Mg Warfarin With 80 Mg Aspirin; Aspirin Monotherapy; Bisoprolol; Vascular Surgery; Warfarin ( 1 Mg Or 3 Mg ) Combined With Low-Dose Aspirin ( 80 Mg ); Warfarin With Aspirin
Myofascial Trigger Point Pain,Ems; Ens
Myofascial Trigger Points,Electrical Muscle Stimulation; Electrical Nerve Stimulation
Myofascial Trigger Points Of Upper Trapezius Muscle,Electrotherapy
N 2 Nsclc,Complete Surgical Resection; Surgery
N2 Tumors,Postoperative Irradiation
Nasal Influenza,Vaccine
Nausea,Artichoke Extracts ( Cynara Scolymus L. )
Neoplasm,Interferon Alfa-2A
Neoplastic Disorders,"Recombinant Human Interferon Alfa-2A ( Roferon-A , Hoffmann-La Roche , Nutley , Nj )"
Neuroblastoma Xenografts,Topotecan
Neuroendocrine Neoplasms,Lung Resection
Neuroendocrine Neoplasms Of The Lung,Surgical Therapy
Neuroendocrine Tumors Of The Lung,Surgery
Neurologic Disease,I.V . Immunoglobulin Therapy
Neuromuscular Blockade,Neostigmine Or Edrophonium
Neutropenia,Amifostine; Antimicrobial Therapy; Chemotherapy; Irradiation Therapy; Recombinant Human Granulocyte Colony-Stimulating Factor ( Rhg-Csf )
Newly Diagnosed Hodgkin 'S Disease ( Hd ),"Standard Abvd Chemotherapy ( Doxorubicin , Bleomycin , Vinblastine , Dacarbazine )"
Nhl,Cytotoxic Agents; Radiolabeled Mabs
Node-Positive Breast Cancer,"Cyclophosphamide , Methotrexate , And Fluorouracil; Intensive Cyclophosphamide , Epirubicin , And Fluorouracil Chemotherapy"
Non Small Cell Lung Cancer ( Nsclc ),Surgical Management
Non-Bulky Metastatic Seminoma,Carboplatin And Ifosfamide
Non-Functioning Endocrine Pancreatic Tumor With Progressive Liver And Lymph Node Metastases,I.M . Lanreotide Therapy
Non-Hodgkin 'S Lymphoma,Chemotherapy Alone; Chemotherapy Plus Radiotherapy; Conventional Treatments
"Non-Hodgkin 'S Lymphoma , Breast Cancer , Mesothelioma And Non-Small Cell Lung Cancer",Oxaliplatin
Non-Hodgkin Lymphomas,Low-Dose Irradiation; Radiotherapy
Non-Obstructive Azoospermia,Open Biopsy And Testicular Sperm Extraction ( Tese ); Testicular Sperm Extraction By Open Biopsy; Testicular Sperm Retrieval By Percutaneous Fine Needle Sperm Aspiration; Testicular Sperm Retrieval By Testicular Fine Needle Aspiration ( Tefna )
Non-Q-Wave Coronary Syndromes,Roxithromycin
Non-Q-Wave Myocardial Infarction,Roxithromycin
Non-Seminomatous Germ-Cell Tumors,Chemotherapy
Non-Small Cell Lung Cancer,Gemcitabine; Mitoxantrone; Paclitaxel And Carboplatin; Postoperative Irradiation
Non-Small Cell Lung Cancer ( Nsclc ),Chemotherapy; Post-Operative Radiotherapy ( Rt ); Radical En-Bloc Resection; Surgery; Surgical Resection; Surgical Staging
Non-Small-Cell Lung Cancer,Chemotherapy Of Supportive Care; Neoadjuvant Chemotherapy; Resection Of Their Metastases And The Primary Site; Surgery; Surgical Resection
Non-Small-Cell Lung Cancer ( Nsclc ),Irinotecan ( Cpt-11 ) And Cisplatin ( Cddp ); Radiotherapy ( Rt )
Non-Small-Cell-Lung-Cancer ( Nsclc ),Cisplatin And Radiotherapy
Noncirrhotic Portal Hypertension,Transabdominal Extensive Esophagogastric Devascularization With Gastroesophageal Stapling
Noninsulin-Dependent Diabetes Mellitus,Troglitazone
Nonvertebral Fractures,Dietary Supplementation With Calcium And Vitamin D
Normal-Tension Glaucoma,Intraocular Pressure Reduction
Nsaid-Induced Proteinuria,Steroid Therapy
Nsclc,"Chemo- And Radiotherapy; Combination Chemotherapy Of Cisplatin , Ifosfamide , And Irinotecan With Recombinant Human Granulocyte Colony-Stimulating Factor Support; Combined Modality Treatment; Docetaxel; Gemcitabine; Irinotecan; Paclitaxel; Planned Sequential Chemotherapy; Platinum-Based Chemotherapy; Pulmonary Resection; Radiotherapy; Surgical Treatment; Vinorelbine"
Nsclc ( Stage Iiib ),Chemo- And Radiotherapy; Radiotherapy; Surgical Treatment
Nsclcm,Cisplatin And Radiotherapy
Obesity,Dexfenfluramine Hydrochloride
Odontogenic Infections,Antimicrobial Treatment
Opacification,Optic Capture; Vitrectomy
Open-Bite,Thera-Spoon
Opioid Dependence,Detoxification; Methadone Maintenance
Opportunistic Infection,Recombinant Interferon Alfa-2A
Orthotopic Tumor,Adenovirus-Mediated Interleukin 12 ( Il-12 ) Gene Therapy
Osseous Metastasis,Combination Chemotherapy
Osteoarthritis,Intra-Articular Hyaluronan Injections
Osteogenic Sarcoma,Antibodies; T12 Protocol
Osteomalacia,Fluoride
Osteosarcoma Of The Extremities,Neoadjuvant Chemotherapy
Otitis Media,Vaccine
Outpatient Depression,Fluoxetine; Venlafaxine
Ovarian Cancer,Cisplatin; Cisplatin And Paclitaxel; Paclitaxel
Ovarian Cysts,Catheter Treatment; Endoscopic Intervention; Laparoscopic Removal; Laparoscopic Treatment; Laser Treatment
Oxidative Myocardial Damage And Nitric Oxide,Normoxic Cardiopulmonary Bypass
Pain,Tpvb
Pancreatic Fluid Collections,Transmural Drainage
Pancreatitis,Administration Of Clear Fluids
Panic Disorder And Depression,Clomipramine
Paracolostomy Hernias,Mesh Repair
Paraphilia,Analogue Of Gonadotropin-Releasing Hormone
Parkinson 'S Disease,"Dopamine Agonist; Levodopa; Microelectrode-Guided Posteroventral Pallidotomy; Tolcapone , A Catechol-O-Methyltransferase Inhibitor"
Partial Seizures,Lamotrigine ( Ltg ); Lamotrigine Monotherapy; Ltg
Pathologic Stage I Non-Small Cell Lung Cancer,"Uft , A 5-Fluorouracil Derivative Chemotherapeutic Agent"
Pediatric Defecatory Disorders,Surgical Approaches
Pemphigoid,Hdivig
Pemphigus,Hdivig
Penoscrotal Hypospadias,Tubularized Incised Plate Surgery
Peptic Ulceration,Surgery
Perioperative Mortality,Bisoprolol; Vascular Surgery
Peripheral Arterial Occlusive Disease,Chelation Therapy
Peripheral Colorectal Pulmonary Metastases,Therapeutic Metastasectomy
Peripheral Vascular Disease,Antiplatelet Drugs
Peritoneal Dialysis,Automated Night-Time Dialysis ( Apd ); Continuous Ambulatory Peritoneal Dialysis ( Capd )
Peritoneal Tumors,Intrapleural Injection Of Irradiated Llc-Il2
Persistent Asthma,Fluticasone Propionate; Inhaled Corticosteroids
Persistent Disease,Inhaled Corticosteroid Therapy
Persistent Neonatal Hyperinsulinaemic Hypoglycaemia,Pancreatectomy
Persistent Severe Regurgitation,Surgical Treatment
"Pertussis , Measles , Rubella And Mumps",Vaccines
Phaeochromocytoma,Adrenal-Sparing Surgery; Adrenalectomy
Phrenic Nerve Block,Nerve Stimulator
Platinum-Pretreated Ovarian Cancer,Oxaliplatin
Pleuritic Pain,Other Blocks Such As Interpleural And Epidural; The Paravertebral Block
Pm,Induction Chemotherapy; Wli
Pneumococcal,Vaccine
Pneumococcal Meningitis And Bacteremic Pneumonia,Heptavalent Pneumococcal Conjugate Vaccine
Pneumococcus,Conjugated Vaccine; Vaccine
Pneumocystis Carinii Pneumonia,Trimethoprim-Sulfamethoxazole
Pneumonia,Bacterial Vaccine; Levofloxacin Versus Intravenous Ceftriaxone And Amoxicillin/Clavulanate
Pneumonitis And Oesophagitis,Amifostine; Thoracic Irradiation
Polio,Vaccination; Vaccine
Poliomyelitis,Vaccines
Poliovirus,Vaccines
Pompholyx ( Vesicular Eczema ),I.V . Immunoglobulin Therapy
Poor-Prognosis Aml Of Childhood,"Ida-Flag ( Idarubicin , Fludarabine , Cytarabine , G-Csf ); Remission-Induction Therapy"
Post-Haemorrhoidectomy Bleeding,A Foley Catheter And A Pack
Posterior Capsule Opacification,Posterior Chamber Intraocular Lenses ( Pc Iols )
Postoperative Alkaline Gastric Reflux,Roux-En-Y Gastrojejunostomy
Postoperative Alkaline Reflux Gastritis,Surgery
Postoperative Analgesia,Epidural Neostigmine Coadministered With Lidocaine
Postoperative Fibrinoid Syndrome,Recombinant Prourokinase
Postoperative Ileus,Homeopathy
Postoperative Pain Control After Laminectomy,Morphine Nerve Paste
Postoperative Pain Relief,Epidural Fentanyl ( F ); Sufentanil ( S )
Postoperative Peritonitis,Intubation And Continuous Intraluminal Irrigation
Postoperative Voiding Dysfunction,Retropubic Suspensions; Sling Procedures
Postpneumonic Empyema,Surgical Treatment
Postvitrectomy Diabetic Vitreous Hemorrhage,Peripheral Retinal Cryotherapy
Pph,Fenfluramines
Pre-Established Metastases In A Preclinical Prostate Cancer Model,Adenovirus-Mediated Interleukin 12 ( Il-12 ) Gene Therapy
Pre-Existing Llc Peritoneal Tumors,Intraperitoneal Injection Of Irradiated Llc-Il2
Pre-Existing Lung Llc Tumors,Intrapleural Injection Of Irradiated Llc-Il2
Preeclampsia,Donor Insemination; Intrauterine Insemination; Intrauterine Insemination With Donor Versus Partner Sperm; Partner Insemination
"Pressure , Tightness , And/Or Pain",5Ht1B/1D Agonist Avitriptan; Sumatriptan
Pressure Ulcers,Pressure-Reducing Support Surfaces
Primary Head And Neck Tumor,Ommaya Placement
Primary Infertility,Intrauterine Insemination With Donor Versus Partner Sperm
Primary Lung Cancer,Complete Pulmonary Resection; Intrapericardial Pulmonectomy; Resection
Primary Or Metastatic Mediastinal Germ Cell Tumors,Chemotherapy
Primary Pulmonary Hypertension,Dexfenfluramine; Fenfluramine
Primary Pulmonary Hypertension ( Pph ),Fenfluramines
Primary Sclerosing Cholangitis ( Psc ),Oral Budesonide
Primary Ulcer Surgery,Partial Gastrectomy; Roux-En-Y Reconstruction
Primary Uveal Melanoma,Transpupillary Thermotherapy
Prior Myocardial Infarction,Aspirin
Profound Neuromuscular Blockade,Neostigmine 0.07 Mg Kg-1 And Edrophonium
Progressive Multifocal Leukoencephalopathy,Oral Fludarabine
Prostate Cancer,Flutamide Plus Castration; Neoadjuvant Androgen Deprivation Therapy; Radical Prostatectomy
Proteinuria,Dexamethasone
Proximal Hypospadias,Tubularized Incised Plate Hypospadias Repair; Tubularized Incised Plate Urethroplastym
Proximal Hypospadias Defects,Tubularized Incised Plate Urethroplasty
Psoriasis,"1 Alpha , 24 ( Oh ) 2D3; Active Metabolites Of Vitamin D3; Active Vitamin D3 Analogue , 1 Alpha , 24-Dihydroxycholecalciferol; Colchicine"
Psoriasis Vulgaris,"Active Forms Of Vitamin D3 , 1 Alpha-Hydroxyvitamin D3 And 1 Alpha , 25-Dihydroxyvitamin D3"
Psychotic Episode In Schizophrenics,Antipsychotic Medication
Pulmonary Aspergilloma,Aggressive Pulmonary Resection; Operations
Pulmonary Disorders,N-Acetylcysteine ( Nac ) And Ambroxol ( Amb )
Pulmonary Embolism,Heparin; Low-Molecular-Weight Heparin
Pulmonary Hypertension,Fenfluramine-Phentermine Therapy; Lung Transplantation; Pulmonary Angiography
Pulmonary Hypoplasia,Amnioinfusion
Pulmonary Metastases ( Pm ) Of Ewing Sarcoma Family Tumors ( Esft ),Whole-Lung Irradiation ( Wli )
Pulmonary Symptoms,Chemotherapy
Pulmonary Tuberculosis,Thoracoscopic Surgery
Pulseless Ventricular Tachycardia,Cpr; Tissue Plasminogen Activator
Ra,Steroid Therapy
Radiation-Induced Mucositis,Radiation Therapy
Radiation-Induced Myelopathy,Enoxaparin; Heparin; Heparin And/Or Enoxaparin
Radiation-Induced Spinal Cord Injury,Anticoagulant Therapy
Raom,Conjugate Pneumococcal Vaccine; Vaccine
Recalcitrant Molluscum Contagiosum Virus Lesions,Cidofovir
Rectal Adenocarcinoma,Preoperative Radiotherapy; Surgery
Rectal Prolapse,Surgery
Recurrent Adenocarcinoma Of The Cervix,Paclitaxel
Recurrent Anterior Dislocation Of The Shoulder,Open Capsulorrhaphy With Suture Anchors
Recurrent Cervical Adenocarcinoma,Paclitaxel
Recurrent Corneal Erosions,Phototherapeutic Keratectomy
Recurrent Non-Small-Cell Lung Carcinoma,"Combination Of Txt , Gem And Cddp"
Recurrent Pericarditis,Colchicine
Recurrent Spontaneous Abortion,Intravenous Immune Globulin
Recurrent Ulcer,Partial Gastrectomy; Roux-En-Y Reconstruction
Reduced Bone Density,Chemotherapy
Refractory Aom,"Amoxicillin , Trimethoprim/Sulfamethoxazole ( Tmp/Smx ) , Or High-Dose Amoxicillin/Clavulanate ( Depending On The Prior Dose Of And Adherence To Amoxicillin Therapy ) , And Ceftriaxone Or Tympanocentesis"
Refractory Arrest Rhythms,Bolus Thrombolytic Infusions
Refractory Cerebral Vasospasm And Ischemia,Intrathecal Sodium Nitroprusside
Refractory Esophageal Strictures,Endoscopic Ultrasound Miniprobe-Guided Steroid Injection
Refractory Ra,Mtx
Refractory Right Ventricular Failure,Use Of High-Frequency High-Volume Ventilation
Refractory Ventricular Fibrillation,Bolus Thrombolytic Infusions; Cpr; Tissue Plasminogen Activator
Regionally Advanced Disease Prior To Resection,Neoadjuvant Therapy
Relapsed Pediatric Leukemias,Ara-Ctp; Fludarabine
Renal Cell Carcinoma,Interferon Treatment
Renal Failure,Azathioprine And Prednisolone
Renal Trauma,Shock Wave Lithotripsy
Renovascular Hypertension,Percutaneous Transluminal Angioplasty
Resectable Primary Or Metastatic Lung Carcinoma,Surgical Treatment
Resistant Sclc,Carboplatin; Ifosfamide; Paclitaxel
Respiratory Disease,Antimicrobial Therapy
Restenosis,Corticosteroids; Probucol And Multivitamins
Retinal Degeneration,Lutein
Retinoblastoma,Radiation Treatment
Rheumatic Pain,Herbal Medicine; Nonsteroidal Antiinflammatory Drugs ( Nsaid )
Rheumatoid Arthritis,Anticytokine Therapy; Arthrodesis
Rheumatoid Arthritis ( Ra ),Corticosteroid; Methotrexate ( Mtx )
Rhinovirus,Clarithromycin
Right Ventricular Failure,Standard Methods Of Increasing Pulmonary Blood Flow
Rsv Bronchiolitis,Hospital Treatment
Ruptured Horn,Laparotomy
S.C. Tumors,Intraperitoneal Injection Of Irradiated Llc-Il2; Intrapleural Injection Of Irradiated Llc-Il2; Subcutaneous Injection Of Irradiated Llc-Il2
Salmonella Meningitis,Antibiotics
Schistosoma Mansoni Infection,Vaccination
Schizophrenia,Olanzapine
Schizophrenia And Other Psychiatric Disorders,Antipsychotic Agents
Schizophrenic Patients,Olanzapine
Sciatica,Corticosteroid Injections
Sclc,Anti-Idiotypic Monoclonal Antibody; Carboplatin Alone In A Combination Chemotherapy Regimen; Chemotherapy; Cisplatin And Carboplatin; Combination Chemotherapy; Combination Therapy With Carboplatin Alone; Etoposide; Gemcitabine; Intensification Of Platinum Dose ( Cisplatin Plus Carboplatin ) In Combination Chemotherapy; Matrix Metalloproteinase Inhibitors Marimastat And Bms-275291; Platinum-Based Combination Chemotherapy; Tumor Vaccines
"Sclc , Limited Disease",Chemo- And Radiotherapy; Radiotherapy; Surgical Treatment
Scrub Typhus,Azithromycin Therapy
Secondary Cataract Formation,Lens Implantation; Pccc With Anterior Vitrectomy
Secondary Pneumothorax,Thoracoscopic Operation
Seizures,Chronic Vagus Nerve Stimulation
Seminomatous Types,Chemotherapy
Separation-Related Problems,Behavioural Therapy; Clomipramine
"Several Disorders Including Rheumatoid Arthritis , Primary Biliary Cirrhosis , Scleroderma , Fibrotic Lung Diseases And Progressive Systemic Sclerosis","D-Penicillamine ( 2-Amino-3-Mercapto-3-Methylbutanoic Acid ) , A Well-Known Heavy Metal Chelator"
Severe Accidental Hypothermia,Extracorporeal Rewarming
Severe Combined Immunodeficiency,Hematopoietic Stem-Cell Transplantation
Severe Diverticular Hemorrhage,Colonoscopy
Severe Dyspnea Due To Tracheal Stenosis Caused By Lung Cancer And Esophageal Cancer,Expandable Metal Stents
Severe Foot Infections In Diabetic Patients,G-Csf
Severe Hypertension,Methyldopa
Severe Hypoxemia,Glucocorticoid Pulse Therapy; Mechanical Ventilation
Severe Meningococcal Disease,New Therapies
Severe Plaque Psoriasis,Acitretin; Oral Liarozole
Severe Psoriasis,Cyclosporin A ( Cya ); Methotrexate ( Mtx ); Photochemotherapy ( Puva ); Retinoids ( Ret ); Systemic Treatments; Ultraviolet B ( Uvb )
Severe Pulmonary Emphysema,Ippb
Severe Respiratory Failure,Surfactant ( Beractant )
Severe Rv Failure,Rhbp
Severe Secondary Peritonitis,Surgical Management
Severe Ulcerative Or Crohn 'S Colitis,Tacrolimus
Short-Bowel Syndrome,Comprehensive Modified Diet; Nutrition Management
Shoulder Dislocation,Immobilisation
Sickle Cell Disease,Hydroxyurea
"Single Non-Sclc , Breast , Melanoma , Renal Cell , And Ovarian Carcinoma Brain Metastasis",Surgical Resection And Wbrt
Skeletal Fluorosis,Fluoride
Sleep-Wake Cycle Disorders,Melatonin Treatment
Small Cell Lung Cancer,Chemotherapy; Gemcitabine/Carboplatin; Prophylactic Cranial Irradiation
Small Cell Lung Cancer ( Sclc ),Chemotherapy; Chemotherapy ( Ct ); Radical Radiotherapy In The Lung
Small Cell Neuroendocrine Carcinoma ( Scc ),Lung Resection
Small Lesions,Gks
Small-Cell Carcinoma,"New Chemotherapeutic Agents , Including The Taxanes And The Topoisomerase I Inhibitors"
Small-Cell Lung Cancer,Chemotherapy; Combination Chemotherapy; Ifosfamide In Combination With Paclitaxel And Carboplatin; Irinotecan
Small-Cell Lung Cancer ( Sclc ),Gemcitabine And Etoposide
Soft Tissue Sarcoma,Adjuvant Chemotherapy; Palliative Chemotherapy
Soft Tissue Sarcomas,Radiotherapy; Resection; Surgical Management
Solid Tumors,Carboplatin; Cyclophosphamide
Solitary Pulmonary Metastasis,Thoracoscopic Partial Resection Of The Lung
Sore Throat,Antibiotic Management; Antibiotics
Sore Throats,Antibiotics
Spasms In Severe Tetanus,Magnesium Sulphate
Splenic Rupture,G-Csf Therapy; Granulocyte Colony-Stimulating Factor ( G-Csf )
Splenomegaly,Splenectomy
Spontaneous Carotid-Cavernous Fistula In Ehlers-Danlos Syndrome,Transvenous Occlusion With Guglielmi Detachable Coils
Spontaneous Pneumothorax,Thoracoscopic Surgery
Spontaneous Rupture Of A Hepatic Metastasis From Renal Cell Carcinoma,Hepatic Arterial Embolization
Squamous Cell Carcinoma,"Completion Pneumonectomy Of The Left Lung; Induction Chemotherapy With Docetaxel , Cisplatin , Fluorouracil , And Leucovorin"
Squamous Cell Lung Cancer,Combination Of Radiation Therapy And Chemotherapy
Squamous Cell Lung Carcinoma With Sarcoidosis,Induction Chemotherapy ( Cisplatin + Vinorelbine )
Stable Asthma,Aerosolized Salbutamol; Dry Powdered Formoterol
Stable Chronic Obstructive Pulmonary Disease,Ipratropium Bromide; Salmeterol
Stage 0 Lung Carcinoma,Curative Therapy
Stage I Or Ii Non-Small Cell Lung Cancer ( Nsclc ),Surgical Resection
Stage Ib And Iia Cervical Carcinoma,Radical Surgery; Radiotherapy
Stage Ib-Iia Cervical Cancer,Radical Surgery Versus Radiotherapy
Stage Iii Nsclc,Chemotherapy
Stage Iii Or Iv Scchn,Tpfl5
Stage Iiia N2 Nsclc,Gemcitabine/Cisplatin
Stage Ivb Large Cell B-Cell Non-Hodgkin 'S Lymphoma,Chemotherapy
Status Epilepticus,Phenytoin
Steroid-Refractory Severe Colitis,Oral Tacrolimus
Stomach Cancer,Total Gastrectomy
Stone Disease,Medical Treatment
Streptococcus Pneumoniae,Levofloxacin
Stress Urinary Incontinence,Surgery; Surgical Procedures
Stridor,Microlaryngoscopy And Bronchoscopy
Stroke,Alteplase; Antiplatelet Therapy; Atrial Fibrillation; Caprie And Esps-2; Statins; Transfusions
Stump Recurrence After Prior Pneumonectomy,Carinal Plus Lobar Resections; Carinal Pneumonectomies; Carinal Resections; Isolated Carinal Resections
Subsequent Cancers,Radiation Treatment
Superficial Hemosiderosis Of The Central Nervous System,Trientine
Supraclavicular Node Metastases In Nsclc,Chemoradiotherapy
Supratentorial Cavernous Malformations,Microsurgical Treatment
Supratentorial Intracerebral Hemorrhage,Early Surgical Treatment
Surgical Jaundice,Percutaneous Transhepatic Biliary Drainage
Surgical-Site Complications,Morphine Nerve Paste
Sweating,Thoracoscopic Sympathectomy
Swine Enzootic Pneumonia,Vaccination
Symptomatic Bronchiectasis,"Antibiotics , Antibronchoobstructive Medication , And Chest Physical Therapy"
Symptomatic Metastases In Bone Or Brain,Radiotherapy
Symptoms Associated With Sblc,Radiotherapy
Symptoms Attributable To The Paranasal Sinuses,Pseudoephedrine Plus Acetaminophen
Symptoms Of A Common Cold,Macrolide Antibiotics
Syringomyelia Associated With Spinal Adhesive Arachnoiditis,Surgical Management
Tachycardia,Bolus Thrombolytic Infusions
Temporomandibular Joint Arthropathy,Arthroscopic Treatment
Teratoma Syndrome,Chemotherapy
Testicular Bleeding,Fine Needle Aspiration
Testicular Cancer,Adjuvant Psychological Therapy
Tetanus,Resuscitation Treatment
Thalassemia Major,Iron-Chelation Therapy With Deferiprone
Third And Sixth Nerve Palsy,Supramaximal Horizontal Rectus Surgery
Thromboembolic Disease,Low-Molecular-Weight Heparin
